scinam,longevity,origin,data_sources
phalacrocorax penicillatus,17.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
phalaropus fulicaria,6.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
phalaropus lobatus,5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pheucticus ludovicianus,12.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pheucticus melanocephalus,11.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
phoenicopterus ruber,13.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
phylloscopus borealis,3.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pica hudsonia,9.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pica nuttalli,9.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
picoides arcticus,4.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
picoides borealis,16.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
picoides nuttallii,7.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
picoides pubescens,11.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
picoides scalaris,4.5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
picoides villosus,15.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pinicola enucleator,9.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pipilo aberti,8.58,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pipilo chlorurus,7.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pipilo crissalis,12.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pipilo erythrophthalmus,9.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pipilo fuscus,7.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pipilo maculatus,8.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
piranga ludoviciana,6.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
piranga olivacea,11.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
piranga rubra,7.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
platalea ajaja,15.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
plectrophenax hyperboreus,4.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
plectrophenax nivalis,8.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
plegadis falcinellus,21,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pluvialis dominica,13,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pluvialis fulva,21.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pluvialis squatarola,12.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
podiceps auritus,5.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
podiceps grisegena,11,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
podiceps nigricollis,8.58,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
poecile atricapillus,11.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
poecile carolinensis,10.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
poecile gambeli,10.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
poecile hudsonicus,5.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
poecile rufescens,9.5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
polioptila caerulea,4.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
polyborus plancus,17.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
polysticta stelleri,23,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pooecetes gramineus,7.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
porphyrio martinica,7.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
procelsterna cerulea,15,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
progne subis,13.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
protonotaria citrea,8.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
psaltriparus minimus,8.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pterodroma alba,11.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pterodroma hypoleuca,20.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pterodroma phaeopygia,13.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
ptychoramphus aleuticus,16.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
puffinus auricularis,7,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
puffinus gravis,7,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
puffinus nativitatis,22.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
puffinus pacificus,26.25,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
puffinus puffinus,4.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pycnonotus jocosus,4,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
pyrocephalus rubinus,5.5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
quiscalus major,13.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
quiscalus mexicanus,7.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
quiscalus quiscula,23.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
rallus longirostris,7.5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
recurvirostra americana,15,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
regulus satrapa,6.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
riparia riparia,8,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
rissa brevirostris,27,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
rissa tridactyla,18,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
rostrhamus sociabilis,14.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
rynchops niger,20.25,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sayornis nigricans,8,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sayornis phoebe,10.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
scardafella inca,10.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
scolopax minor,11.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
seiurus aurocapillus,11,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
seiurus motacilla,11.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
seiurus noveboracensis,8.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
selasphorus platycercus,12.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
selasphorus rufus,8.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
selasphorus sasin,4,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
setophaga ruticilla,10.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sialia currucoides,9,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sialia mexicana,8.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sialia sialis,10.5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sitta carolinensis,9.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sitta pusilla,5.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
somateria fischeri,18,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
somateria mollissima,22.58,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sphyrapicus ruber,4.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sphyrapicus varius,7.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
spiza americana,4,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
spizella arborea,10.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
spizella breweri,5.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
spizella pallida,6.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
spizella passerina,10.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
spizella pusilla,10.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sporophila torqueola,11.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
stellula calliope,6.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
stercorarius longicaudus,14,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sterna antillarum,24.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sterna dougallii,25.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sterna forsteri,15.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sterna fuscata,33.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sterna hirundo,24.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sterna lunata,25.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sterna paradisaea,34,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
streptopelia chinensis,7.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
streptopelia decaocto,5.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
strix nebulosa,12.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
strix occidentalis,21,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
strix varia,18.25,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sturnella magna,8.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sturnella neglecta,6.5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sula bassana,26.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sula dactylatra,25.25,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sula leucogaster,26.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
sula sula,22.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
surnia ulula,4.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
synthliboramphus antiquus,5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
synthliboramphus hypoleucus,14.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
tachycineta bicolor,12.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
tachycineta thalassina,6.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
telespiza cantans,11,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
telespiza ultima,12,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
thalasseus elegans,16,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
thalasseus maximus,27.42,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
thalasseus sandvicensis,22.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
thryomanes bewickii,8,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
thryothorus ludovicianus,7.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
toxostoma bendirei,4.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
toxostoma crissale,4.42,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
toxostoma curvirostre,10.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
toxostoma lecontei,5.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
toxostoma longirostre,7.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
toxostoma redivivum,6.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
toxostoma rufum,11.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
tringa flavipes,4.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
troglodytes aedon,9,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
troglodytes troglodytes,5.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
turdus migratorius,13.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
tyrannus tyrannus,10.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
tyrannus verticalis,6.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
tyto alba,15.42,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
uria aalge,26.42,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
uria lomvia,28.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vermivora celata,8.5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vermivora luciae,5.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vermivora pinus,9,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vermivora ruficapilla,10.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vermivora virginiae,6.25,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vestiaria coccinea,8.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo bellii,8.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo bellii,9.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo gilvus,13.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo griseus,10.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo huttoni,13.5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo latimeri,12.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo olivaceus,10.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo philadelphicus,9.83,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo plumbeus,5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
vireo solitarius,7.42,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
wilsonia canadensis,8,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
wilsonia citrina,8.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
wilsonia pusilla,8.92,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
xanthocephalus xanthocephalus,11.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
xema sabini,8.08,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
zenaida asiatica,21.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
zenaida aurita,6.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
zenaida macroura,31.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
zonotrichia albicollis,9.75,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
zonotrichia atricapilla,10.5,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
zonotrichia leucophrys,13.33,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
zonotrichia querula,11.67,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
zosterops japonicus,5.17,wild, http://www.pwrc.usgs.gov/bbl/longevity/Longevity_main.cfm  (Bird Banding Laboratory)
accipiter gentilis,22,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
accipiter nisus,20.25,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
acrocephalus arundinaceus,10.0833,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
acrocephalus dumetorum,7.75,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
acrocephalus melanopogon,11.25,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
acrocephalus palustris,8.91667,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
acrocephalus schoenobaenus,11.8333,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
acrocephalus scirpaceus,14,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
actitis hypoleucos,14.5,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
aegithalos caudatus,11.0833,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
aegolius funereus,15,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
alauda arvensis,10,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
alca torda,42,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
alcedo atthis,21,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
alle alle,7.5,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anas acuta,27.4167,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anas clypeata,20.3333,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anas crecca,21.5,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anas penelope,35.1667,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anas platyrhynchos,23.25,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anas querquedula,14.6667,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anas strepera,22.3333,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anser albifrons,25.25,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anser anser,24,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anser brachyrhynchus,40.9167,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anser erythropus,14.75,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anser fabalis,25.5833,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anthus petrosus,10.9167,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anthus pratensis,8.75,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
anthus trivialis,8.75,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
apus apus,21.0833,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
aquila chrysaetos,32,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
aquila heliaca,25.9167,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
aquila pomarina,7,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
ardea cinerea,37.5,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
ardea purpurea,25.4167,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
ardeola ralloides,5.83333,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
arenaria interpres,21.4167,wild,"Fransson, T. et  al. 2010. EURING list of longevity records for European birds. http://www.euring.org/data_and_codes/longevity.htm"
